Referenzstring|Style|Literaturtyp|BibTeX
"Monti, J., Basile, V., Buono, M. P. D., Manna, R., Pascucci, A., & Tonelli, S. (Eds.). (2022, June). Proceedings of the Second International Workshop on Resources and Techniques for User Information in Abusive Language Analysis. European Language Resources Association. Marseille, France. URL: https://aclanthology.org/2022.restup-1.0
"|apa|proceedings|"@proceedings{restup-2022-international,
    title = ""Proceedings of the Second International Workshop on Resources and Techniques for User Information in Abusive Language Analysis"",
    editor = ""Monti, Johanna  and
      Basile, Valerio  and
      Buono, Maria Pia Di  and
      Manna, Raffaele  and
      Pascucci, Antonio  and
      Tonelli, Sara"",
    month = jun,
    year = ""2022"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://aclanthology.org/2022.restup-1.0"",
}
"
"Gella, S., He, H., Majumder, B. P., Can, B., Giunchiglia, E., Cahyawijaya, S., Min, S., Mozes, M., Li, X. L., Augenstein, I., Rogers, A., Cho, K., Grefenstette, E., Rimell, L., & Dyer, C. (Eds.). (2022, May). Proceedings of the 7th Workshop on Representation Learning for NLP. Association for Computational Linguistics. Dublin, Ireland. URL: https://aclanthology.org/2022.repl4nlp-1.0
"|apa|proceedings|"@proceedings{repl4nlp-2022-representation,
    title = ""Proceedings of the 7th Workshop on Representation Learning for NLP"",
    editor = ""Gella, Spandana  and
      He, He  and
      Majumder, Bodhisattwa Prasad  and
      Can, Burcu  and
      Giunchiglia, Eleonora  and
      Cahyawijaya, Samuel  and
      Min, Sewon  and
      Mozes, Maximilian  and
      Li, Xiang Lorraine  and
      Augenstein, Isabelle  and
      Rogers, Anna  and
      Cho, Kyunghyun  and
      Grefenstette, Edward  and
      Rimell, Laura  and
      Dyer, Chris"",
    month = may,
    year = ""2022"",
    address = ""Dublin, Ireland"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.repl4nlp-1.0"",
}
"
"Wilkens, R., Alfter, D., Cardon, R., & Gala, N. (Eds.). (2022, June). Proceedings of the 2nd Workshop on Tools and Resources to Empower People with REAding DIfficulties (READI) within the 13th Language Resources and Evaluation Conference. European Language Resources Association. Marseille, France. URL: https://aclanthology.org/2022.readi-1.0
"|apa|proceedings|"@proceedings{readi-2022-tools,
    title = ""Proceedings of the 2nd Workshop on Tools and Resources to Empower People with REAding DIfficulties (READI) within the 13th Language Resources and Evaluation Conference"",
    editor = ""Wilkens, Rodrigo  and
      Alfter, David  and
      Cardon, R{\'e}mi  and
      Gala, N{\'u}ria"",
    month = jun,
    year = ""2022"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://aclanthology.org/2022.readi-1.0"",
}
"
"Kokkinakis, D., Themistocleous, C. K., Fors, K. L., Tsanas, A., & Fraser, K. C. (Eds.). (2022, June). Proceedings of the RaPID Workshop - Resources and ProcessIng of linguistic, para-linguistic and extra-linguistic Data from people with various forms of cognitive/psychiatric/developmental impairments - within the 13th Language Resources and Evaluation Conference. European Language Resources Association. Marseille, France. URL: https://aclanthology.org/2022.rapid-1.0
"|apa|proceedings|"@proceedings{rapid-2022-rapid4,
    title = ""Proceedings of the RaPID Workshop - Resources and ProcessIng of linguistic, para-linguistic and extra-linguistic Data from people with various forms of cognitive/psychiatric/developmental impairments - within the 13th Language Resources and Evaluation Conference"",
    editor = ""Kokkinakis, Dimitrios  and
      Themistocleous, Charalambos K.  and
      Fors, Kristina Lundholm  and
      Tsanas, Athanasios  and
      Fraser, Kathleen C."",
    month = jun,
    year = ""2022"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://aclanthology.org/2022.rapid-1.0"",
}
"
"Paggio, P., Gatt, A., & Tanti, M. (Eds.). (2022, June). Proceedings of the 2nd Workshop on People in Vision, Language, and the Mind. European Language Resources Association. Marseille, France. URL: https://aclanthology.org/2022.pvlam-1.0
"|apa|proceedings|"@proceedings{pvlam-2022-people,
    title = ""Proceedings of the 2nd Workshop on People in Vision, Language, and the Mind"",
    editor = ""Paggio, Patrizia  and
      Gatt, Albert  and
      Tanti, Marc"",
    month = jun,
    year = ""2022"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://aclanthology.org/2022.pvlam-1.0"",
}
"
"Feyisetan, O., Ghanavati, S., Thaine, P., Habernal, I., & Mireshghallah, F. (Eds.). (2022, July). Proceedings of the Fourth Workshop on Privacy in Natural Language Processing. Association for Computational Linguistics. Seattle, United States. URL: https://aclanthology.org/2022.privatenlp-1.0
"|apa|proceedings|"@proceedings{privatenlp-2022-privacy,
    title = ""Proceedings of the Fourth Workshop on Privacy in Natural Language Processing"",
    editor = ""Feyisetan, Oluwaseyi  and
      Ghanavati, Sepideh  and
      Thaine, Patricia  and
      Habernal, Ivan  and
      Mireshghallah, Fatemehsadat"",
    month = jul,
    year = ""2022"",
    address = ""Seattle, United States"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.privatenlp-1.0"",
}
"
"Afli, H., Alam, M., Bouamor, H., Casagran, C. B., Boland, C., & Ghannay, S. (Eds.). (2022, June). Proceedings of the LREC 2022 workshop on Natural Language Processing for Political Sciences. European Language Resources Association. Marseille, France. URL: https://aclanthology.org/2022.politicalnlp-1.0
"|apa|proceedings|"@proceedings{politicalnlp-2022-lrec,
    title = ""Proceedings of the LREC 2022 workshop on Natural Language Processing for Political Sciences"",
    editor = ""Afli, Haithem  and
      Alam, Mehwish  and
      Bouamor, Houda  and
      Casagran, Cristina Blasi  and
      Boland, Colleen  and
      Ghannay, Sahar"",
    month = jun,
    year = ""2022"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://aclanthology.org/2022.politicalnlp-1.0"",
}
"
"Fišer, D., Eskevich, M., Lenardič, J., & de Jong, F. (Eds.). (2022, June). Proceedings of the Workshop ParlaCLARIN III within the 13th Language Resources and Evaluation Conference. European Language Resources Association. Marseille, France. URL: https://aclanthology.org/2022.parlaclarin-1.0
"|apa|proceedings|"@proceedings{parlaclarin-2022-parlaclarin,
    title = ""Proceedings of the Workshop ParlaCLARIN III within the 13th Language Resources and Evaluation Conference"",
    editor = ""Fi{\v{s}}er, Darja  and
      Eskevich, Maria  and
      Lenardi{\v{c}}, Jakob  and
      de Jong, Franciska"",
    month = jun,
    year = ""2022"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://aclanthology.org/2022.parlaclarin-1.0"",
}
"
"Chiticariu, L., Goldberg, Y., Hahn-Powell, G., Morrison, C. T., Naik, A., Sharp, R., Surdeanu, M., Valenzuela-Escárcega, M., & Noriega-Atala, E. (Eds.). (2022, October). Proceedings of the First Workshop on Pattern-based Approaches to NLP in the Age of Deep Learning. International Conference on Computational Linguistics. Gyeongju, Republic of Korea. URL: https://aclanthology.org/2022.pandl-1.0
"|apa|proceedings|"@proceedings{pandl-2022-pattern,
    title = ""Proceedings of the First Workshop on Pattern-based Approaches to NLP in the Age of Deep Learning"",
    editor = ""Chiticariu, Laura  and
      Goldberg, Yoav  and
      Hahn-Powell, Gus  and
      Morrison, Clayton T.  and
      Naik, Aakanksha  and
      Sharp, Rebecca  and
      Surdeanu, Mihai  and
      Valenzuela-Esc{\'a}rcega, Marco  and
      Noriega-Atala, Enrique"",
    month = oct,
    year = ""2022"",
    address = ""Gyeongju, Republic of Korea"",
    publisher = ""International Conference on Computational Linguistics"",
    url = ""https://aclanthology.org/2022.pandl-1.0"",
}
"
"Dita, S., Trillanes, A., & Lucas, R. I. (Eds.). (2022, October). Proceedings of the 36th Pacific Asia Conference on Language, Information and Computation. Association for Computational Linguistics. Manila, Philippines. URL: https://aclanthology.org/2022.paclic-1.0
"|apa|proceedings|"@proceedings{paclic-2022-pacific,
    title = ""Proceedings of the 36th Pacific Asia Conference on Language, Information and Computation"",
    editor = ""Dita, Shirley  and
      Trillanes, Arlene  and
      Lucas, Rochelle Irene"",
    month = oct,
    year = ""2022"",
    address = ""Manila, Philippines"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.paclic-1.0"",
}
"
"Al-Khalifa, H., Elsayed, T., Mubarak, H., Al-Thubaity, A., Magdy, W., & Darwish, K. (Eds.). (2022, June). Proceedinsg of the 5th Workshop on Open-Source Arabic Corpora and Processing Tools with Shared Tasks on Qur'an QA and Fine-Grained Hate Speech Detection. European Language Resources Association. Marseille, France. URL: https://aclanthology.org/2022.osact-1.0
"|apa|proceedings|"@proceedings{osact-2022-proceedinsg,
    title = ""Proceedinsg of the 5th Workshop on Open-Source Arabic Corpora and Processing Tools with Shared Tasks on Qur'an QA and Fine-Grained Hate Speech Detection"",
    editor = ""Al-Khalifa, Hend  and
      Elsayed, Tamer  and
      Mubarak, Hamdy  and
      Al-Thubaity, Abdulmohsen  and
      Magdy, Walid  and
      Darwish, Kareem"",
    month = jun,
    year = ""2022"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://aclanthology.org/2022.osact-1.0"",
}
"
"Freihat, A. A. & Abbas, M. (Eds.). (2022, December). Proceedings of the Third International Workshop on NLP Solutions for Under Resourced Languages (NSURL 2022) co-located with ICNLSP 2022. Association for Computational Linguistics. Trento, Italy. URL: https://aclanthology.org/2022.nsurl-1.0
"|apa|proceedings|"@proceedings{nsurl-2022-international-nlp,
    title = ""Proceedings of the Third International Workshop on NLP Solutions for Under Resourced Languages (NSURL 2022) co-located with ICNLSP 2022"",
    editor = ""Freihat, Abed Alhakim  and
      Abbas, Mourad"",
    month = dec,
    year = ""2022"",
    address = ""Trento, Italy"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.nsurl-1.0"",
}
"
"Shavrina, T., Mikhailov, V., Malykh, V., Artemova, E., Serikov, O., & Protasov, V. (Eds.). (2022, May). Proceedings of NLP Power! The First Workshop on Efficient Benchmarking in NLP. Association for Computational Linguistics. Dublin, Ireland. URL: https://aclanthology.org/2022.nlppower-1.0
"|apa|proceedings|"@proceedings{nlppower-2022-nlp,
    title = ""Proceedings of NLP Power! The First Workshop on Efficient Benchmarking in NLP"",
    editor = ""Shavrina, Tatiana  and
      Mikhailov, Vladislav  and
      Malykh, Valentin  and
      Artemova, Ekaterina  and
      Serikov, Oleg  and
      Protasov, Vitaly"",
    month = may,
    year = ""2022"",
    address = ""Dublin, Ireland"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.nlppower-1.0"",
}
"
"Abercrombie, G., Basile, V., Tonelli, S., Rieser, V., & Uma, A. (Eds.). (2022, June). Proceedings of the 1st Workshop on Perspectivist Approaches to NLP @LREC2022. European Language Resources Association. Marseille, France. URL: https://aclanthology.org/2022.nlperspectives-1.0
"|apa|proceedings|"@proceedings{nlperspectives-2022-perspectivist,
    title = ""Proceedings of the 1st Workshop on Perspectivist Approaches to NLP @LREC2022"",
    editor = ""Abercrombie, Gavin  and
      Basile, Valerio  and
      Tonelli, Sara  and
      Rieser, Verena  and
      Uma, Alexandra"",
    month = jun,
    year = ""2022"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://aclanthology.org/2022.nlperspectives-1.0"",
}
"
"Bamman, D., Hovy, D., Jurgens, D., Keith, K., O'Connor, B., & Volkova, S. (Eds.). (2022, November). Proceedings of the Fifth Workshop on Natural Language Processing and Computational Social Science (NLP+CSS). Association for Computational Linguistics. Abu Dhabi, UAE. URL: https://aclanthology.org/2022.nlpcss-1.0
"|apa|proceedings|"@proceedings{nlp-css-2022-natural,
    title = ""Proceedings of the Fifth Workshop on Natural Language Processing and Computational Social Science (NLP+CSS)"",
    editor = ""Bamman, David  and
      Hovy, Dirk  and
      Jurgens, David  and
      Keith, Katherine  and
      O'Connor, Brendan  and
      Volkova, Svitlana"",
    month = nov,
    year = ""2022"",
    address = ""Abu Dhabi, UAE"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.nlpcss-1.0"",
}
"
"Biester, L., Demszky, D., Jin, Z., Sachan, M., Tetreault, J., Wilson, S., Xiao, L., & Zhao, J. (Eds.). (2022, December). Proceedings of the Second Workshop on NLP for Positive Impact (NLP4PI). Association for Computational Linguistics. Abu Dhabi, United Arab Emirates (Hybrid). URL: https://aclanthology.org/2022.nlp4pi-1.0
"|apa|proceedings|"@proceedings{nlp4pi-2022-nlp,
    title = ""Proceedings of the Second Workshop on NLP for Positive Impact (NLP4PI)"",
    editor = ""Biester, Laura  and
      Demszky, Dorottya  and
      Jin, Zhijing  and
      Sachan, Mrinmaya  and
      Tetreault, Joel  and
      Wilson, Steven  and
      Xiao, Lu  and
      Zhao, Jieyu"",
    month = dec,
    year = ""2022"",
    address = ""Abu Dhabi, United Arab Emirates (Hybrid)"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.nlp4pi-1.0"",
}
"
"Hämäläinen, M., Alnajjar, K., Partanen, N., & Rueter, J. (Eds.). (2022, November). Proceedings of the 2nd International Workshop on Natural Language Processing for Digital Humanities. Association for Computational Linguistics. Taipei, Taiwan. URL: https://aclanthology.org/2022.nlp4dh-1.0
"|apa|proceedings|"@proceedings{nlp4dh-2022-international,
    title = ""Proceedings of the 2nd International Workshop on Natural Language Processing for Digital Humanities"",
    editor = {H{\""a}m{\""a}l{\""a}inen, Mika  and
      Alnajjar, Khalid  and
      Partanen, Niko  and
      Rueter, Jack},
    month = nov,
    year = ""2022"",
    address = ""Taipei, Taiwan"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.nlp4dh-1.0"",
}
"
"Liu, B., Papangelis, A., Ultes, S., Rastogi, A., Chen, Y.-N., Spithourakis, G., Nouri, E., & Shi, W. (Eds.). (2022, May). Proceedings of the 4th Workshop on NLP for Conversational AI. Association for Computational Linguistics. Dublin, Ireland. URL: https://aclanthology.org/2022.nlp4convai-1.0
"|apa|proceedings|"@proceedings{nlp4convai-2022-nlp,
    title = ""Proceedings of the 4th Workshop on NLP for Conversational AI"",
    editor = ""Liu, Bing  and
      Papangelis, Alexandros  and
      Ultes, Stefan  and
      Rastogi, Abhinav  and
      Chen, Yun-Nung  and
      Spithourakis, Georgios  and
      Nouri, Elnaz  and
      Shi, Weiyan"",
    month = may,
    year = ""2022"",
    address = ""Dublin, Ireland"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.nlp4convai-1.0"",
}
"
"Alfter, D., Volodina, E., François, T., Desmet, P., Cornillie, F., Jönsson, A., & Rennes, E. (Eds.). (2022, December). Proceedings of the 11th Workshop on NLP for Computer Assisted Language Learning. LiU Electronic Press. Louvain-la-Neuve, Belgium. URL: https://aclanthology.org/2022.nlp4call-1.0
"|apa|proceedings|"@proceedings{nlp4call-2022-nlp,
    title = ""Proceedings of the 11th Workshop on NLP for Computer Assisted Language Learning"",
    editor = {Alfter, David  and
      Volodina, Elena  and
      Fran{\c{c}}ois, Thomas  and
      Desmet, Piet  and
      Cornillie, Frederik  and
      J{\""o}nsson, Arne  and
      Rennes, Evelina},
    month = dec,
    year = ""2022"",
    address = ""Louvain-la-Neuve, Belgium"",
    publisher = ""LiU Electronic Press"",
    url = ""https://aclanthology.org/2022.nlp4call-1.0"",
}
"
"Aletras, N., Chalkidis, I., Barrett, L., Goanță, C., & Preoțiuc-Pietro, D. (Eds.). (2022, December). Proceedings of the Natural Legal Language Processing Workshop 2022. Association for Computational Linguistics. Abu Dhabi, United Arab Emirates (Hybrid). URL: https://aclanthology.org/2022.nllp-1.0
"|apa|proceedings|"@proceedings{nllp-2022-natural,
    title = ""Proceedings of the Natural Legal Language Processing Workshop 2022"",
    editor = ""Aletras, Nikolaos  and
      Chalkidis, Ilias  and
      Barrett, Leslie  and
      Goan{\textcommabelow{t}}{\u{a}}, C{\u{a}}t{\u{a}}lina  and
      Preo{\textcommabelow{t}}iuc-Pietro, Daniel"",
    month = dec,
    year = ""2022"",
    address = ""Abu Dhabi, United Arab Emirates (Hybrid)"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.nllp-1.0"",
}
"
"Krahmer, E., McCoy, K., & Reiter, E. (Eds.). (2022, July). Proceedings of the First Workshop on Natural Language Generation in Healthcare. Association for Computational Linguistics. Waterville, Maine, USA and virtual meeting. URL: https://aclanthology.org/2022.nlg4health-1.0
"|apa|proceedings|"@proceedings{nlg4health-2022-natural,
    title = ""Proceedings of the First Workshop on Natural Language Generation in Healthcare"",
    editor = ""Krahmer, Emiel  and
      McCoy, Kathy  and
      Reiter, Ehud"",
    month = jul,
    year = ""2022"",
    address = ""Waterville, Maine, USA and virtual meeting"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.nlg4health-1.0"",
}
"
"Parthasarathi, P. & Côté, M.-A. (Eds.). (2022, December). Proceedings of the Workshop on Novel Ideas in Learning-to-Learn through Interaction (NILLI 2022). Association for Computational Linguistics. Abu Dhabi, United Arab Emirates (Hybrid). URL: https://aclanthology.org/2022.nilli-1.0
"|apa|proceedings|"@proceedings{nilli-2022-novel,
    title = ""Proceedings of the Workshop on Novel Ideas in Learning-to-Learn through Interaction (NILLI 2022)"",
    editor = ""Parthasarathi, Prasanna  and
      C{\^o}t{\'e}, Marc-Alexandre"",
    month = dec,
    year = ""2022"",
    address = ""Abu Dhabi, United Arab Emirates (Hybrid)"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.nilli-1.0"",
}
"
"Callison-Burch, C., Cieri, C., Fiumara, J., & Liberman, M. (Eds.). (2022, June). Proceedings of the 2nd Workshop on Novel Incentives in Data Collection from People: models, implementations, challenges and results within LREC 2022. European Language Resources Association. Marseille, France. URL: https://aclanthology.org/2022.nidcp-1.0
"|apa|proceedings|"@proceedings{nidcp-2022-novel,
    title = ""Proceedings of the 2nd Workshop on Novel Incentives in Data Collection from People: models, implementations, challenges and results within LREC 2022"",
    editor = ""Callison-Burch, Chris  and
      Cieri, Christopher  and
      Fiumara, James  and
      Liberman, Mark"",
    month = jun,
    year = ""2022"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://aclanthology.org/2022.nidcp-1.0"",
}
"
"Kalouli, A.-L. & Chatzikyriakidis, S. (Eds.). (2022, August). Proceedings of the 3rd Natural Logic Meets Machine Learning Workshop (NALOMA III). Association for Computational Linguistics. Galway, Ireland. URL: https://aclanthology.org/2022.naloma-1.0
"|apa|proceedings|"@proceedings{naloma-2022-natural,
    title = ""Proceedings of the 3rd Natural Logic Meets Machine Learning Workshop (NALOMA III)"",
    editor = ""Kalouli, Aikaterini-Lida  and
      Chatzikyriakidis, Stergios"",
    month = aug,
    year = ""2022"",
    address = ""Galway, Ireland"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.naloma-1.0"",
}
"
"Sinha, M., Dasgupta, T., & Chatterjee, S. (Eds.). (2022, December). Proceedings of the First Workshop on NLP in Agriculture and Livestock Management. Association for Computational Linguistics. IIIT Delhi, New Delhi, India. URL: https://aclanthology.org/2022.nalm-1.0
"|apa|proceedings|"@proceedings{nalm-2022-nlp,
    title = ""Proceedings of the First Workshop on NLP in Agriculture and Livestock Management"",
    editor = ""Sinha, Manjira  and
      Dasgupta, Tirthankar  and
      Chatterjee, Sanjay"",
    month = dec,
    year = ""2022"",
    address = ""IIIT Delhi, New Delhi, India"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.nalm-1.0"",
}
"
"Ballesteros, M., Tsvetkov, Y., & Alm, C. O. (Eds.). (2022, July). Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies: Tutorial Abstracts. Association for Computational Linguistics. Seattle, United States. URL: https://aclanthology.org/2022.naacl-tutorials.0
"|apa|proceedings|"@proceedings{naacl-2022-2022,
    title = ""Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies: Tutorial Abstracts"",
    editor = ""Ballesteros, Miguel  and
      Tsvetkov, Yulia  and
      Alm, Cecilia O."",
    month = jul,
    year = ""2022"",
    address = ""Seattle, United States"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.naacl-tutorials.0"",
}
"
"Ippolito, D., Li, L. H., Pacheco, M. L., Chen, D., & Xue, N. (Eds.). (2022, July). Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies: Student Research Workshop. Association for Computational Linguistics. Hybrid: Seattle, Washington + Online. URL: https://aclanthology.org/2022.naacl-srw.0
"|apa|proceedings|"@proceedings{naacl-2022-2022-north,
    title = ""Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies: Student Research Workshop"",
    editor = ""Ippolito, Daphne  and
      Li, Liunian Harold  and
      Pacheco, Maria Leonor  and
      Chen, Danqi  and
      Xue, Nianwen"",
    month = jul,
    year = ""2022"",
    address = ""Hybrid: Seattle, Washington + Online"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.naacl-srw.0"",
}
"
"Carpuat, M., de Marneffe, M.-C., & Meza Ruiz, I. V. (Eds.). (2022, July). Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies. Association for Computational Linguistics. Seattle, United States. URL: https://aclanthology.org/2022.naacl-main.0
"|apa|proceedings|"@proceedings{naacl-2022-2022-north-american-chapter,
    title = ""Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies"",
    editor = ""Carpuat, Marine  and
      de Marneffe, Marie-Catherine  and
      Meza Ruiz, Ivan Vladimir"",
    month = jul,
    year = ""2022"",
    address = ""Seattle, United States"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.naacl-main.0"",
}
"
"Loukina, A., Gangadharaiah, R., & Min, B. (Eds.). (2022, July). Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies: Industry Track. Association for Computational Linguistics. Hybrid: Seattle, Washington + Online. URL: https://aclanthology.org/2022.naacl-industry.0
"|apa|proceedings|"@proceedings{naacl-2022-naacl,
    title = ""Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies: Industry Track"",
    editor = ""Loukina, Anastassia  and
      Gangadharaiah, Rashmi  and
      Min, Bonan"",
    month = jul,
    year = ""2022"",
    address = ""Hybrid: Seattle, Washington + Online"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.naacl-industry.0"",
}
"
"Hajishirzi, H., Ning, Q., & Sil, A. (Eds.). (2022, July). Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies: System Demonstrations. Association for Computational Linguistics. Hybrid: Seattle, Washington + Online. URL: https://aclanthology.org/2022.naacl-demo.0
"|apa|proceedings|"@proceedings{naacl-2022-2022-north-american,
    title = ""Proceedings of the 2022 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies: System Demonstrations"",
    editor = ""Hajishirzi, Hannaneh  and
      Ning, Qiang  and
      Sil, Avi"",
    month = jul,
    year = ""2022"",
    address = ""Hybrid: Seattle, Washington + Online"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.naacl-demo.0"",
}
"
"Bhatia, A., Cook, P., Taslimipoor, S., Garcia, M., & Ramisch, C. (Eds.). (2022, June). Proceedings of the 18th Workshop on Multiword Expressions @LREC2022. European Language Resources Association. Marseille, France. URL: https://aclanthology.org/2022.mwe-1.0
"|apa|proceedings|"@proceedings{mwe-2022-multiword,
    title = ""Proceedings of the 18th Workshop on Multiword Expressions @LREC2022"",
    editor = ""Bhatia, Archna  and
      Cook, Paul  and
      Taslimipoor, Shiva  and
      Garcia, Marcos  and
      Ramisch, Carlos"",
    month = jun,
    year = ""2022"",
    address = ""Marseille, France"",
    publisher = ""European Language Resources Association"",
    url = ""https://aclanthology.org/2022.mwe-1.0"",
}
"
"Ataman, D., Gonen, H., Ruder, S., Firat, O., Gül Sahin, G., & Mirzakhalov, J. (Eds.). (2022, December). Proceedings of the 2nd Workshop on Multi-lingual Representation Learning (MRL). Association for Computational Linguistics. Abu Dhabi, United Arab Emirates (Hybrid). URL: https://aclanthology.org/2022.mrl-1.0
"|apa|proceedings|"@proceedings{mrl-2022-multi,
    title = ""Proceedings of the 2nd Workshop on Multi-lingual Representation Learning (MRL)"",
    editor = {Ataman, Duygu  and
      Gonen, Hila  and
      Ruder, Sebastian  and
      Firat, Orhan  and
      G{\""u}l Sahin, G{\""o}zde  and
      Mirzakhalov, Jamshidbek},
    month = dec,
    year = ""2022"",
    address = ""Abu Dhabi, United Arab Emirates (Hybrid)"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.mrl-1.0"",
}
"
"FitzGerald, J., Rottmann, K., Hirschberg, J., Bansal, M., Rumshisky, A., Peris, C., & Hench, C. (Eds.). (2022, December). Proceedings of the Massively Multilingual Natural Language Understanding Workshop (MMNLU-22). Association for Computational Linguistics. Abu Dhabi, United Arab Emirates (Hybrid). URL: https://aclanthology.org/2022.mmnlu-1.0
"|apa|proceedings|"@proceedings{mmnlu-2022-massively,
    title = ""Proceedings of the Massively Multilingual Natural Language Understanding Workshop (MMNLU-22)"",
    editor = ""FitzGerald, Jack  and
      Rottmann, Kay  and
      Hirschberg, Julia  and
      Bansal, Mohit  and
      Rumshisky, Anna  and
      Peris, Charith  and
      Hench, Christopher"",
    month = dec,
    year = ""2022"",
    address = ""Abu Dhabi, United Arab Emirates (Hybrid)"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.mmnlu-1.0"",
}
"
"Proceedings of the First Workshop on Performance and Interpretability Evaluations of Multimodal, Multipurpose, Massive-Scale Models. (2022, October). International Conference on Computational Linguistics. Virtual. URL: https://aclanthology.org/2022.mmmpie-1.0
"|apa|proceedings|"@proceedings{mmmpie-2022-performance,
    title = ""Proceedings of the First Workshop on Performance and Interpretability Evaluations of Multimodal, Multipurpose, Massive-Scale Models"",
    month = oct,
    year = ""2022"",
    address = ""Virtual"",
    publisher = ""International Conference on Computational Linguistics"",
    url = ""https://aclanthology.org/2022.mmmpie-1.0"",
}
"
"Chakravarthi, B. R., Murugappan, A., Chinnappa, D., Hane, A., Kumeresan, P. K., & Ponnusamy, R. (Eds.). (2022, December). Proceedings of the First Workshop on Multimodal Machine Learning in Low-resource Languages. Association for Computational Linguistics. IIIT Delhi, New Delhi, India. URL: https://aclanthology.org/2022.mmlow-1.0
"|apa|proceedings|"@proceedings{mmlow-2022-multimodal,
    title = ""Proceedings of the First Workshop on Multimodal Machine Learning in Low-resource Languages"",
    editor = ""Chakravarthi, Bharathi Raja  and
      Murugappan, Abirami  and
      Chinnappa, Dhivya  and
      Hane, Adeep  and
      Kumeresan, Prasanna Kumar  and
      Ponnusamy, Rahul"",
    month = dec,
    year = ""2022"",
    address = ""IIIT Delhi, New Delhi, India"",
    publisher = ""Association for Computational Linguistics"",
    url = ""https://aclanthology.org/2022.mmlow-1.0"",
}
"
