BibTeX;Style;Referenzstring
"@Inproceedings{Gaudin2007TreeWT,
 author = {P. Gaudin and A. Tuzet and A. Granier and D. Thiec},
 title = {Tree water transfer: analysis of the 2003 drought period},
 year = {2007}
}
";plain;"P. Gaudin, A. Tuzet, A. Granier, and D. Thiec. Tree water transfer: analysis of the 2003 drought period. 2007.
"
"@Article{Brown2019RoboticDR,
 author = {K. K. Brown and A. E. Norton and Dylan T Neu and P. B. Shaw},
 booktitle = {Journal of Occupational and Environmental Hygiene},
 journal = {Journal of Occupational and Environmental Hygiene},
 pages = {717 - 726},
 title = {Robotic direct reading device with spatial, temporal, and PID sensors for laboratory VOC exposure assessment},
 volume = {16},
 year = {2019}
}
";plain;"K. K. Brown, A. E. Norton, Dylan T Neu, and P. B. Shaw. Robotic direct reading device with spatial, temporal, and pid sensors for laboratory voc exposure assessment. Journal of Occupational and Environmental Hygiene, 16:717 - 726, 2019.
"
"@Inproceedings{Yang2022ReconstructingTH,
 author = {Chuanxun Yang and Yangxiaoyue Liu and Ji Yang and Yong Li and Shuisen Chen},
 booktitle = {Frontiers in Environmental Science},
 title = {Reconstructing the Historical Terrestrial Water Storage Variations in the Huang–Huai–Hai River Basin With Consideration of Water Withdrawals},
 volume = {10},
 year = {2022}
}
";plain;"Chuanxun Yang, Yangxiaoyue Liu, Ji Yang, Yong Li, and Shuisen Chen. Reconstructing the Historical Terrestrial Water Storage Variations in the Huang–Huai–Hai River Basin With Consideration of Water Withdrawals. 2022.
"
"@Article{Muigai2023TRADEOFFSIT,
 author = {Pauline Muigai and H. Agevi and J. Otuoma and F. Muyekho and C. Onyango and G. Ayaga},
 booktitle = {Tropical and Subtropical Agroecosystems},
 journal = {Tropical and Subtropical Agroecosystems},
 title = {TRADE-OFFS IN TREE SPECIES SELECTION AND CARBON OFFSET ON FARMS ADJACENT TO KAKAMEGA-NANDI FOREST ECOSYSTEM IN KENYA},
 year = {2023}
}
";plain;"Pauline Muigai, H. Agevi, J. Otuoma, F. Muyekho, C. Onyango, and G. Ayaga. Trade-offs in tree species selection and carbon offset on farms adjacent to kakamega-nandi forest ecosystem in kenya. Tropical and Subtropical Agroecosystems, 2023.
"
"@Inproceedings{刘忠2010ImitationCP,
 author = {刘忠 and 周荣华},
 title = {Imitation copper paint and preparation method and construction technology thereof},
 year = {2010}
}
";plain;"刘忠 and 周荣华. Imitation copper paint and preparation method and construction technology thereof. 2010.
"
"@Article{Moreno-Alcántara2014HOLOPLANKTONICM,
 author = {M. Moreno-Alcántara and G. Aceves-Medina and O. Angulo-Campillo and José Paul Murad-Serrano},
 journal = {Journal of Molluscan Studies},
 pages = {131-138},
 title = {HOLOPLANKTONIC MOLLUSCS (GASTROPODA: PTEROTRACHEOIDEA, THECOSOMATA AND GYMNOSOMATA) FROM THE SOUTHERN MEXICAN PACIFIC},
 volume = {80},
 year = {2014}
}
";plain;"M. Moreno-Alcántara, G. Aceves-Medina, O. Angulo-Campillo, and José Paul Murad-Serrano. Holoplanktonic molluscs (gastropoda: pterotracheoidea, thecosomata and gymnosomata) from the southern mexican pacific. Journal of Molluscan Studies, 80:131-138, 2014.
"
"@Inproceedings{Rinehart1980GeysersOT,
 author = {J. Rinehart},
 pages = {1-23},
 title = {Geysers of the World},
 year = {1980}
}
";plain;"J. Rinehart. Geysers of the World. 1980.
"
"@Article{Guimarães2020UltrasoundassistedHO,
 author = {Bianca Guimarães and T. C. Polachini and P. Augusto and J. Telis‐Romero},
 journal = {Chemical Engineering and Processing},
 pages = {108045},
 title = {Ultrasound-assisted hydration of wheat grains at different temperatures and power applied: Effect on acoustic field, water absorption and germination},
 volume = {155},
 year = {2020}
}
";plain;"Bianca Guimarães, T. C. Polachini, P. Augusto, and J. Telis‐Romero. Ultrasound-assisted hydration of wheat grains at different temperatures and power applied: effect on acoustic field, water absorption and germination. Chemical Engineering and Processing, 155:108045, 2020.
"
"@Inproceedings{Knobles1996ModalTS,
 author = {D. Knobles},
 title = {Modal time series structure in range and depth of a shallow‐water area.},
 year = {1996}
}
";plain;"D. Knobles. Modal time series structure in range and depth of a shallow‐water area. 1996.
"
"@Article{Liu2011AnER,
 author = {Xiao Fang Liu and Dang-wei Wang and H. Huang},
 journal = {Applied Mechanics and Materials},
 pages = {2740 - 2745},
 title = {An Experimental Research on Optimization of Trajectory Bucket for Spillway Tunnel Outlet at Sanliping Hydropower Project},
 volume = {90-93},
 year = {2011}
}
";plain;"Xiao Fang Liu, Dang-wei Wang, and H. Huang. An experimental research on optimization of trajectory bucket for spillway tunnel outlet at sanliping hydropower project. Applied Mechanics and Materials, 90-93:2740 - 2745, 2011.
"
"@Article{Hall2022EvaluationOF,
 author = {S. Hall and Paul Johnson and Claire Bailey and Zoe Gould and Robert White and B. Crook},
 booktitle = {Annals of Work Exposures and Health},
 journal = {Annals of Work Exposures and Health},
 title = {Evaluation of Face Shields, Goggles, and Safety Glasses as a Virus Transmission Control Measure to Protect the Wearer Against Cough Droplets},
 year = {2022}
}
";plain;"S. Hall, Paul Johnson, Claire Bailey, Zoe Gould, Robert White, and B. Crook. Evaluation of face shields, goggles, and safety glasses as a virus transmission control measure to protect the wearer against cough droplets. Annals of Work Exposures and Health, 2022.
"
"@Article{Li2013TheCA,
 author = {Xingjian Li and Daoxing Sun and Yiheng Zhang},
 booktitle = {Journal of polymer research},
 journal = {Journal of Polymer Research},
 pages = {1-13},
 title = {The Cu(I)-mediated azide–alkyne cycloadditions as a facile and efficient route for functionalization of waterborne polyurethane},
 volume = {21},
 year = {2013}
}
";plain;"Xingjian Li, Daoxing Sun, and Yiheng Zhang. The cu(i)-mediated azide–alkyne cycloadditions as a facile and efficient route for functionalization of waterborne polyurethane. Journal of Polymer Research, 21:1-13, 2013.
"
"@Article{Burke2015AdsorptionAT,
 author = {D. J. Burke and F. Puletti and P. Woods and S. Viti and B. Slater and W. A. Brown},
 booktitle = {Journal of Physical Chemistry A},
 journal = {The journal of physical chemistry. A},
 pages = {
          6837-49
        },
 title = {Adsorption and Thermal Processing of Glycolaldehyde, Methyl Formate, and Acetic Acid on Graphite at 20 K.},
 volume = {119 26},
 year = {2015}
}
";plain;"D. J. Burke, F. Puletti, P. Woods, S. Viti, B. Slater, and W. A. Brown. Adsorption and thermal processing of glycolaldehyde, methyl formate, and acetic acid on graphite at 20 k. The journal of physical chemistry. A, 119 26:6837-49, 2015.
"
"@Inproceedings{van1986LantanidenID,
 author = {D. A. van and Montizaan Gk},
 title = {Lantaniden in drinkwaterslib: herkomst en betekenis},
 year = {1986}
}
";plain;"D. A. van and Montizaan Gk. Lantaniden in drinkwaterslib: herkomst en betekenis. 1986.
"
"@Inproceedings{Tisdell1996ChinasEP,
 author = {C. Tisdell},
 title = {China's Environmental Problems: Selected Issues and Solutions in Context},
 year = {1996}
}
";plain;"C. Tisdell. China's Environmental Problems: Selected Issues and Solutions in Context. 1996.
"
"@Inproceedings{Théodore2011Macrofauna1C,
 author = {Théodore and Andrew and Cockcroft},
 title = {Macrofauna 1 community structure and zonation of two sandy beaches on the central Namib coast , South West Africa / Namibia},
 year = {2011}
}
";plain;"Théodore, Andrew, and Cockcroft. Macrofauna 1 community structure and zonation of two sandy beaches on the central Namib coast , South West Africa / Namibia. 2011.
"
"@Article{Kang2012EffectOO,
 author = {In-sook Kang},
 journal = {Journal of the Korean Society of Clothing and Textiles},
 pages = {1117-1124},
 title = {Effect of O2 Plasma Treatment on the Surface Morphology and Characteristics of Poly (imide) to Develop Self-cleaning Industrial Materials},
 volume = {36},
 year = {2012}
}
";plain;"In-sook Kang. Effect of o2 plasma treatment on the surface morphology and characteristics of poly (imide) to develop self-cleaning industrial materials. Journal of the Korean Society of Clothing and Textiles, 36:1117-1124, 2012.
"
"@Article{Gunter1961PainlessKO,
 author = {G. Gunter},
 booktitle = {Science},
 journal = {Science},
 pages = {327 - 327},
 title = {Painless Killing of Crabs and Other Large Crustaceans},
 volume = {133},
 year = {1961}
}
";plain;"G. Gunter. Painless killing of crabs and other large crustaceans. Science, 133:327 - 327, 1961.
"
"@Inproceedings{谢利荣2011FoamingAF,
 author = {谢利荣},
 title = {Foaming agent for foamed aluminum and foamed aluminum alloy and preparation method thereof},
 year = {2011}
}
";plain;"谢利荣. Foaming agent for foamed aluminum and foamed aluminum alloy and preparation method thereof. 2011.
"
"@Article{Ogren1997RelationshipBT,
 author = {E. Ogren},
 booktitle = {Tree Physiology},
 journal = {Tree physiology},
 pages = {
          47-51
        },
 title = {Relationship between temperature, respiratory loss of sugar and premature dehardening in dormant Scots pine seedlings.},
 volume = {17 1},
 year = {1997}
}
";plain;"E. Ogren. Relationship between temperature, respiratory loss of sugar and premature dehardening in dormant scots pine seedlings. Tree physiology, 17 1:47-51, 1997.
"
"@Article{Bakare2018ArsenicosisIB,
 author = {S. O. Bakare and A. Adebayo and H. Awobode and O. Onile and A. Agunloye and R. Isokpehi and C. Anumudu},
 booktitle = {Transactions of the Royal Society of Tropical Medicine and Hygiene},
 journal = {Transactions of The Royal Society of Tropical Medicine and Hygiene},
 pages = {230–237},
 title = {Arsenicosis in bladder pathology and schistosomiasis in Eggua, Nigeria},
 volume = {112},
 year = {2018}
}
";plain;"S. O. Bakare, A. Adebayo, H. Awobode, O. Onile, A. Agunloye, R. Isokpehi, and C. Anumudu. Arsenicosis in bladder pathology and schistosomiasis in eggua, nigeria. Transactions of The Royal Society of Tropical Medicine and Hygiene, 112:230–237, 2018.
"
"@Inproceedings{Montagnoli2023DeepLO,
 author = {Charles Montagnoli},
 title = {Deep Learning of Semantic Image Labels on HDR Imagery in a Maritime Environment},
 year = {2023}
}
";plain;"Charles Montagnoli. Deep Learning of Semantic Image Labels on HDR Imagery in a Maritime Environment. 2023.
"
"@Article{Calore2014EffectOH,
 author = {Ricardo Aparecido Calore and M. C. Ferreira and N. E. L. Rodrigues and A. Otuka and P. D. Castellane},
 journal = {Aspects of applied biology},
 pages = {425-429},
 title = {Effect of herbicides associated with adjuvants in surface tension and contact angle in leaves of Ipomoea hederifolia},
 year = {2014}
}
";plain;"Ricardo Aparecido Calore, M. C. Ferreira, N. E. L. Rodrigues, A. Otuka, and P. D. Castellane. Effect of herbicides associated with adjuvants in surface tension and contact angle in leaves of ipomoea hederifolia. Aspects of applied biology, pages 425-429, 2014.
"
"@Article{Baadsgaard1988SEWERLR,
 author = {M. Baadsgaard and P. Pai},
 journal = {Public works},
 title = {SEWER LINE REHABILITATION WITHOUT EXCAVATION},
 volume = {119},
 year = {1988}
}
";plain;"M. Baadsgaard and P. Pai. Sewer line rehabilitation without excavation. Public works, 1988.
"
"@Article{Osterhout1913ProtoplasmicCR,
 author = {W. J. V. Osterhout},
 booktitle = {Botanical Gazette},
 journal = {Botanical Gazette},
 pages = {446 - 451},
 title = {Protoplasmic Contractions Resembling Plasmolysis Which are Caused by Pure Distilled Water},
 volume = {55},
 year = {1913}
}
";plain;"W. J. V. Osterhout. Protoplasmic contractions resembling plasmolysis which are caused by pure distilled water. Botanical Gazette, 55:446 - 451, 1913.
"
"@Article{Potter1939AnAF,
 author = {C. Potter and K. Hocking},
 journal = {Annals of Applied Biology},
 pages = {348-364},
 title = {An Apparatus for testing and comparing the Biological Action of Insecticides on Flying Insects and a Method for sampling the Concentration of the Atomized Insecticide.},
 volume = {26},
 year = {1939}
}
";plain;"C. Potter and K. Hocking. An apparatus for testing and comparing the biological action of insecticides on flying insects and a method for sampling the concentration of the atomized insecticide. Annals of Applied Biology, 26:348-364, 1939.
"
"@Inproceedings{Ghosh2007ThePS,
 author = {S. Ghosh and M. Petrin and A. Maki},
 title = {The Phosphorescent State as an ODMR Probe of the Solubilization Site of Naphthalene in Frozen Micelles},
 year = {2007}
}
";plain;"S. Ghosh, M. Petrin, and A. Maki. The Phosphorescent State as an ODMR Probe of the Solubilization Site of Naphthalene in Frozen Micelles. 2007.
"
"@Article{Pereira2011DesenvolvimentoDI,
 author = {Máriam Trierveiler Pereira and M. Gimenes and F. A. D. Silva and Odacir Antonio Zanatta},
 journal = {Revista em Agronegócio e Meio Ambiente},
 title = {Desenvolvimento de Indicador de Qualidade de Áreas Verdes Urbanas (IQAVU) e Aplicação em Cidades Paranaenses},
 volume = {5},
 year = {2011}
}
";plain;"Máriam Trierveiler Pereira, M. Gimenes, F. A. D. Silva, and Odacir Antonio Zanatta. Desenvolvimento de indicador de qualidade de áreas verdes urbanas (iqavu) e aplicação em cidades paranaenses. Revista em Agronegócio e Meio Ambiente, 2011.
"
"@Article{Pirmoradi2017SynthesisOM,
 author = {Maryam Pirmoradi and J. Kastner},
 journal = {ACS Sustainable Chemistry & Engineering},
 pages = {1517-1527},
 title = {Synthesis of Methacrylic Acid by Catalytic Decarboxylation and Dehydration of Carboxylic Acids Using a Solid Base and Subcritical Water},
 volume = {5},
 year = {2017}
}
";plain;"Maryam Pirmoradi and J. Kastner. Synthesis of methacrylic acid by catalytic decarboxylation and dehydration of carboxylic acids using a solid base and subcritical water. ACS Sustainable Chemistry & Engineering, 5:1517-1527, 2017.
"
"@Inproceedings{Young1952ControlOB,
 author = {Ll. Young},
 pages = {91-111},
 title = {Control of Boilers Fired by Solid Fuels in Suspension},
 volume = {166},
 year = {1952}
}
";plain;"Ll. Young. Control of Boilers Fired by Solid Fuels in Suspension. 1952.
"
"@Inproceedings{Kakiuchi2006PropertiesOF,
 author = {S. Kakiuchi and R. Yamazaki},
 title = {Properties o f a Heat-stable Phosphodiesterase Activating Factor isolated from Brain Extract Studies on Cyclic 3 ' , 5 '-Nucleotide Phosphodiesterase},
 year = {2006}
}
";plain;"S. Kakiuchi and R. Yamazaki. Properties o f a Heat-stable Phosphodiesterase Activating Factor isolated from Brain Extract Studies on Cyclic 3 ' , 5 '-Nucleotide Phosphodiesterase. 2006.
"
"@Article{Saidajan2012EffectsOW,
 author = {Abdiani Saidajan},
 journal = {Journal of Developments in Sustainable Agriculture},
 pages = {9-13},
 title = {Effects of War on Biodiversity and Sustainable Agricultural Development in Afghanistan},
 volume = {7},
 year = {2012}
}
";plain;"Abdiani Saidajan. Effects of war on biodiversity and sustainable agricultural development in afghanistan. Journal of Developments in Sustainable Agriculture, 7:9-13, 2012.
"
"@Article{Kobayashi1986ThermoerosionOF,
 author = {N. Kobayashi and Demet Aktan},
 journal = {Journal of Waterway Port Coastal and Ocean Engineering-asce},
 pages = {140-158},
 title = {Thermoerosion of Frozen Sediment Under Wave Action},
 volume = {112},
 year = {1986}
}
";plain;"N. Kobayashi and Demet Aktan. Thermoerosion of frozen sediment under wave action. Journal of Waterway Port Coastal and Ocean Engineering-asce, 112:140-158, 1986.
"
"@Inproceedings{Sodemann2012HighRV,
 author = {H. Sodemann and F. Aemisegger and S. Pfahl and U. Corsmeier and A. Wieser and M. Bitter and T. Feuerle and R. Hankers and H. Schulz and G. Hsiao and H. Wernli},
 title = {High resolution vertical profiles of stable water isotopes from airborne measurements in the western Mediterranean during HyMeX in October 2012},
 year = {2012}
}
";plain;"H. Sodemann, F. Aemisegger, S. Pfahl, U. Corsmeier, A. Wieser, M. Bitter, T. Feuerle, R. Hankers, H. Schulz, G. Hsiao, and H. Wernli. High resolution vertical profiles of stable water isotopes from airborne measurements in the western Mediterranean during HyMeX in October 2012. 2012.
"
"@Article{Sukhinov2020DataPO,
 author = {A. Sukhinov and A. Atayan and Y. Belova and V. Litvinov and A. Nikitina and A. Chistyakov},
 booktitle = {Computational Continuum Mechanics},
 journal = {Computational Continuum Mechanics},
 title = {Data processing of field measurements of expedition research for mathematical modeling of hydrodynamic processes in the Azov Sea},
 year = {2020}
}
";plain;"A. Sukhinov, A. Atayan, Y. Belova, V. Litvinov, A. Nikitina, and A. Chistyakov. Data processing of field measurements of expedition research for mathematical modeling of hydrodynamic processes in the azov sea. Computational Continuum Mechanics, 2020.
"
"@Inproceedings{Angel2016NotGW,
 author = {Mateo Echeverry Angel},
 title = {“Not god’s work”},
 year = {2016}
}
";plain;"Mateo Echeverry Angel. “Not god’s work”. 2016.
"
"@Article{Gabriel1999ApoplasticSC,
 author = {R. Gabriel and J. Kesselmeier},
 journal = {Plant and Cell Physiology},
 pages = {604-612},
 title = {Apoplastic Solute Concentrations of Organic Acids and Mineral Nutrients in the Leaves of Several Fagaceae},
 volume = {40},
 year = {1999}
}
";plain;"R. Gabriel and J. Kesselmeier. Apoplastic solute concentrations of organic acids and mineral nutrients in the leaves of several fagaceae. Plant and Cell Physiology, 40:604-612, 1999.
"
"@Article{Macharia2019HepatoprotectiveEO,
 author = {Felix Kanyi Macharia and P. Mwangi and A. Yenesew and F. Bukachi and N. M. Nyaga and D. Wafula},
 booktitle = {bioRxiv},
 journal = {bioRxiv},
 title = {Hepatoprotective effects of Erythrina abyssinica Lam Ex Dc against Non Alcoholic Fatty Liver Disease in Sprague Dawley Rats},
 year = {2019}
}
";plain;"Felix Kanyi Macharia, P. Mwangi, A. Yenesew, F. Bukachi, N. M. Nyaga, and D. Wafula. Hepatoprotective effects of erythrina abyssinica lam ex dc against non alcoholic fatty liver disease in sprague dawley rats. bioRxiv, 2019.
"
"@Article{Jia2012AnalysisOE,
 author = {Jin Jia},
 journal = {Coal science and technology},
 title = {Analysis on Energy Efficiency and Environment Feasibility of Coal Indirect Liquefaction to Oil},
 year = {2012}
}
";plain;"Jin Jia. Analysis on energy efficiency and environment feasibility of coal indirect liquefaction to oil. Coal science and technology, 2012.
"
"@Article{Iburg2021EffectsOR,
 author = {S. Iburg and Dandan Izabel-Shen and Å. Austin and Joakim P. Hansen and J. Eklöf and Francisco J. A. Nascimento},
 booktitle = {Msphere},
 journal = {mSphere},
 title = {Effects of Recreational Boating on Microbial and Meiofauna Diversity in Coastal Shallow Ecosystems of the Baltic Sea},
 volume = {6},
 year = {2021}
}
";plain;"S. Iburg, Dandan Izabel-Shen, Å. Austin, Joakim P. Hansen, J. Eklöf, and Francisco J. A. Nascimento. Effects of recreational boating on microbial and meiofauna diversity in coastal shallow ecosystems of the baltic sea. mSphere, 2021.
"
"@Article{Domínguez2003DistribuciónDM,
 author = {J. Domínguez and Alberto J. Sánchez and R. Florido and E. Barba},
 journal = {Hidrobiologica},
 pages = {127-136},
 title = {Distribución de macrocrustáceos en Laguna Mecoacán: al sur del Golfo de México},
 volume = {13},
 year = {2003}
}
";plain;"J. Domínguez, Alberto J. Sánchez, R. Florido, and E. Barba. Distribución de macrocrustáceos en laguna mecoacán: al sur del golfo de méxico. Hidrobiologica, 13:127-136, 2003.
"
"@Inproceedings{Coutts2001OnTI,
 author = {Michael Coutts},
 pages = {99},
 title = {On the Island},
 year = {2001}
}
";plain;"Michael Coutts. On the Island. 2001.
"
"@Article{Wang2016NarrowDO,
 author = {Xinzhen Wang and Ruiyong Jing and Junjie Liu and Zhenhua Yu and J. Jin and Xiaobing Liu and Xiaojuan Wang and Guanghua Wang},
 booktitle = {Virologica Sinica},
 journal = {Virologica Sinica},
 pages = {188-191},
 title = {Narrow distribution of cyanophage psbA genes observed in two paddy waters of Northeast China by an incubation experiment},
 volume = {31},
 year = {2016}
}
";plain;"Xinzhen Wang, Ruiyong Jing, Junjie Liu, Zhenhua Yu, J. Jin, Xiaobing Liu, Xiaojuan Wang, and Guanghua Wang. Narrow distribution of cyanophage psba genes observed in two paddy waters of northeast china by an incubation experiment. Virologica Sinica, 31:188-191, 2016.
"
"@Inproceedings{None,
 title = {Long-acting propranolol (LA propranolol) is a new formulation of propranolol designed to provide delayed and controlled release of the drug after oral administration. Previous studies have shown that serum propranolol concentration-time curves},
 year = {2006}
}
";plain;"Long-acting propranolol (LA propranolol) is a new formulation of propranolol designed to provide delayed and controlled release of the drug after oral administration. Previous studies have shown that serum propranolol concentration-time curves. 2006.
"
"@Article{Ólafsson2009ChemicalCO,
 author = {M. Ólafsson and S. Jakobsson},
 booktitle = {Surtsey research},
 journal = {Surtsey research},
 title = {Chemical composition of hydrothermal water and water-rock interactions on Surtsey volcanic island. A preliminary report},
 year = {2009}
}
";plain;"M. Ólafsson and S. Jakobsson. Chemical composition of hydrothermal water and water-rock interactions on surtsey volcanic island. a preliminary report. Surtsey research, 2009.
"
"@Article{Caballero2004RotavirusVP,
 author = {S. Caballero and F. Abad and Fabienne Loisy and F. L. Le Guyader and Jean Cohen and R. Pintó and A. Bosch},
 booktitle = {Applied and Environmental Microbiology},
 journal = {Applied and Environmental Microbiology},
 pages = {3904 - 3909},
 title = {Rotavirus Virus-Like Particles as Surrogates in Environmental Persistence and Inactivation Studies},
 volume = {70},
 year = {2004}
}
";plain;"S. Caballero, F. Abad, Fabienne Loisy, F. L. Le Guyader, Jean Cohen, R. Pintó, and A. Bosch. Rotavirus virus-like particles as surrogates in environmental persistence and inactivation studies. Applied and Environmental Microbiology, 70:3904 - 3909, 2004.
"
"@Article{Ratner1932PlacentalTO,
 author = {B. Ratner},
 journal = {Proceedings of the Society for Experimental Biology and Medicine},
 pages = {88 - 91},
 title = {Placental Transmission of Alimentary Anaphylaxis},
 volume = {30},
 year = {1932}
}
";plain;"B. Ratner. Placental transmission of alimentary anaphylaxis. Proceedings of the Society for Experimental Biology and Medicine, 30:88 - 91, 1932.
"
"@Article{An2021InfluenceOR,
 author = {Lesheng An and K. Liao and Lei Zhu and Baohua Zhou},
 booktitle = {Journal of Geographical Science},
 journal = {Journal of Geographical Sciences},
 pages = {551 - 564},
 title = {Influence of river-lake isolation on the water level variations of Caizi Lake, lower reach of the Yangtze River},
 volume = {31},
 year = {2021}
}
";plain;"Lesheng An, K. Liao, Lei Zhu, and Baohua Zhou. Influence of river-lake isolation on the water level variations of caizi lake, lower reach of the yangtze river. Journal of Geographical Sciences, 31:551 - 564, 2021.
"
"@Article{Luis2009TwoSN,
 author = {R. F. Luis and J. Mesa and M. Urtiaga and T. Rojo and M. Arriortua},
 journal = {European Journal of Inorganic Chemistry},
 pages = {4786-4794},
 title = {Two Self-Catenated Nickel(II) Hybrid Vanadates with Honeycomb-Like 3D Inorganic Frameworks Stabilized by Crossed Organic Bpe Pillars: Thermal, Spectroscopic and Magnetic Properties},
 volume = {2009},
 year = {2009}
}
";plain;"R. F. Luis, J. Mesa, M. Urtiaga, T. Rojo, and M. Arriortua. Two self-catenated nickel(ii) hybrid vanadates with honeycomb-like 3d inorganic frameworks stabilized by crossed organic bpe pillars: thermal, spectroscopic and magnetic properties. European Journal of Inorganic Chemistry, 2009:4786-4794, 2009.
"
"@Inproceedings{Watanabe2011AntioxidativePO,
 author = {Yoshiyuki Watanabe and S. Adachi},
 title = {Antioxidative Properties of Acyl Ascorbates in O/W Emulsion},
 year = {2011}
}
";plain;"Yoshiyuki Watanabe and S. Adachi. Antioxidative Properties of Acyl Ascorbates in O/W Emulsion. 2011.
"
"@Article{Wei2016AHS,
 author = {T. Wei and Guo-Tao Yan and Hui Li and Y. Zhu and B. Shi and Qi Lin and Hong Yao and You‐Ming Zhang},
 journal = {Supramolecular Chemistry},
 pages = {720 - 726},
 title = {A highly sensitive and selective “turn-on” fluorescence sensor for rapid detection of cyanide ions in aqueous solution},
 volume = {28},
 year = {2016}
}
";plain;"T. Wei, Guo-Tao Yan, Hui Li, Y. Zhu, B. Shi, Qi Lin, Hong Yao, and You‐Ming Zhang. A highly sensitive and selective “turn-on” fluorescence sensor for rapid detection of cyanide ions in aqueous solution. Supramolecular Chemistry, 28:720 - 726, 2016.
"
"@Article{Eid2020SeasonalPO,
 author = {E. Eid and K. Shaltout and Y. Al-Sodany and S. Haroun and T. Galal and H. Ayed and K. M. Khedher and K. Jensen},
 journal = {Journal of Freshwater Ecology},
 pages = {135 - 155},
 title = {Seasonal potential of Phragmites australis in nutrient removal to eliminate the eutrophication in Lake Burullus, Egypt},
 volume = {35},
 year = {2020}
}
";plain;"E. Eid, K. Shaltout, Y. Al-Sodany, S. Haroun, T. Galal, H. Ayed, K. M. Khedher, and K. Jensen. Seasonal potential of phragmites australis in nutrient removal to eliminate the eutrophication in lake burullus, egypt. Journal of Freshwater Ecology, 35:135 - 155, 2020.
"
"@Article{Gurbisz2017InteractiveEO,
 author = {C. Gurbisz and W. Kemp and J. Cornwell and L. Sanford and M. Owens and Deborah C. Hinkle},
 booktitle = {Estuaries and Coasts},
 journal = {Estuaries and Coasts},
 pages = {1626-1641},
 title = {Interactive Effects of Physical and Biogeochemical Feedback Processes in a Large Submersed Plant Bed},
 volume = {40},
 year = {2017}
}
";plain;"C. Gurbisz, W. Kemp, J. Cornwell, L. Sanford, M. Owens, and Deborah C. Hinkle. Interactive effects of physical and biogeochemical feedback processes in a large submersed plant bed. Estuaries and Coasts, 40:1626-1641, 2017.
"
"@Article{Singh2021ExperimentalPS,
 author = {Kamal Singh and Saurabh Singh and Deep Chand Kandpal and R. Kumar},
 journal = {Materials Today: Proceedings},
 title = {Experimental performance study of photovoltaic solar panel with and without water circulation},
 year = {2021}
}
";plain;"Kamal Singh, Saurabh Singh, Deep Chand Kandpal, and R. Kumar. Experimental performance study of photovoltaic solar panel with and without water circulation. Materials Today: Proceedings, 2021.
"
"@Article{Potter1909ChemicalCI,
 author = {C. J. Potter},
 journal = {Journal of Chemical Technology & Biotechnology},
 pages = {6-10},
 title = {Chemical changes in portland cement concrete and the action of sea water thereon},
 volume = {28},
 year = {1909}
}
";plain;"C. J. Potter. Chemical changes in portland cement concrete and the action of sea water thereon. Journal of Chemical Technology & Biotechnology, 28:6-10, 1909.
"
"@Inproceedings{Matijević2007PhosphorusSC,
 author = {S. Matijević and G. Kušpilić and Z. Kljaković-Gašpić},
 title = {Phosphorus species concentrations in the middle Adriatic coastal sediment},
 year = {2007}
}
";plain;"S. Matijević, G. Kušpilić, and Z. Kljaković-Gašpić. Phosphorus species concentrations in the middle Adriatic coastal sediment. 2007.
"
"@Article{Tsvetanova2018INFLUENCEOB,
 author = {Z. Tsvetanova and H. Najdenski},
 booktitle = {Ecological Engineering and Environment Protection},
 journal = {Ecological Engineering and Environment Protection},
 title = {INFLUENCE OF BACTERIAL DIVERSITY AND INTERSPECIES INTERACTIONS ON DRINKING WATER-ASSOCIATED BIOFILMS OF YЕRSINIA ЕNTEROCOLITICA},
 year = {2018}
}
";plain;"Z. Tsvetanova and H. Najdenski. Influence of bacterial diversity and interspecies interactions on drinking water-associated biofilms of yеrsinia еnterocolitica. Ecological Engineering and Environment Protection, 2018.
"
"@Article{Krea2004NewCM,
 author = {M. Krea and D. Roizard and N. Moulai‐Mostefa and D. Sacco},
 journal = {Journal of Membrane Science},
 pages = {55-64},
 title = {New copolyimide membranes with high siloxane content designed to remove polar organics from water by pervaporation},
 volume = {241},
 year = {2004}
}
";plain;"M. Krea, D. Roizard, N. Moulai‐Mostefa, and D. Sacco. New copolyimide membranes with high siloxane content designed to remove polar organics from water by pervaporation. Journal of Membrane Science, 241:55-64, 2004.
"
"@Inproceedings{Brito2015SensibilidadeDV,
 author = {M. Brito and P. D. Fernandes and H. R. Gheyi and Alberto Soares de Melo and J. P. A. Cardoso and W. S. S. Filho},
 pages = {343-353},
 title = {Sensibilidade de variedades e híbridos de citrange à salinidade na formação de porta-enxertos - DOI: 10.5039/agraria.v3i4a364},
 volume = {3},
 year = {2015}
}
";plain;"M. Brito, P. D. Fernandes, H. R. Gheyi, Alberto Soares de Melo, J. P. A. Cardoso, and W. S. S. Filho. Sensibilidade de variedades e híbridos de citrange à salinidade na formação de porta-enxertos - DOI: 10.5039/agraria.v3i4a364. 2015.
"
